BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated
Mars;AJON;MAAA1668N10314;Named formation;Crater;AA;AJON;Approved by IAU on 1988;Not appliable;Russia;Russian;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Town in Russia.;103,14;103 ° 8 ' ;16,68;16 ° 41 '  North;mc14;8,08;8,08;Mars;124;Ajon;Ajon;Crater, craters;AA;8.08;16.68;103.14;16.75;16.61;103.21;103.07;Planetographic  +East  0 - 360;mc14;Town in Russia.;Europe;Russia;Approved;1988;36;11/17/10
Mars;AKI;MAAA3578S29976;Named formation;Crater;AA;AKI;Approved by IAU on 1979;Not appliable;Japan;Japanese;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Town in Japan.;299,76;299 ° 46 ' ;-35,78;35 ° 47 '  South;mc25;7,87;7,87;Mars;131;Aki;Aki;Crater, craters;AA;7.87;-35.78;299.76;-35.72;-35.85;299.84;299.68;Planetographic  +East  0 - 360;mc25;Town in Japan.;Asia;Japon;Approved;1979;36;11/17/10
Mars;AKTAJ;MAAA2063N31351;Named formation;Crater;AA;AKTAJ;Approved by IAU on 1988;Not appliable;Russia;Russian;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Town in Russia.;313,51;313 ° 31 ' ;20,63;20 ° 38 '  North;mc10;5,01;5,01;Mars;139;Aktaj;Aktaj;Crater, craters;AA;5.01;20.63;313.51;20.68;20.59;313.56;313.47;Planetographic  +East  0 - 360;mc10;Town in Russia.;Europe;Russia;Approved;1988;36;11/17/10
Mars;AL QAHIRA VALLIS;MAVA1844S16241;Named formation;Valley;VA;AL QAHIRA VALLIS;Approved by IAU on 1973;Not appliable;Indonesia;Indonesian;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Town in Mexico.;162,41;162 ° 25 ' ;-18,44;18 ° 26 '  South;mc23;600,00;???;Mars;151;Al-Qahira Vallis;Al Qahira Vallis;Vallis, valles;VA;600,00;-18.44;162.41;-14.58;-22.02;165.36;159.61;Planetographic  +East  0 - 360;mc23;Town in Mexico.;Asia;Indonésie;Approved;1973;62;10/01/2006
Mars;ALAMOS;MAAA2373N32288;Named formation;Crater;AA;ALAMOS;Approved by IAU on Sep 14, 2006;Not appliable;Mexico;Mexican;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Classical albedo name.;322,88;322 ° 53 ' ;23,73;23 ° 44 '  North;mc11;6,44;6,44;Mars;14183;Alamos;Alamos;Crater, craters;AA;6.44;23.73;322.88;23.79;23.68;322.93;322.82;Planetographic  +East  0 - 360;mc11;Classical albedo name.;North America;Mexico;Approved;Sep 14, 2006;179;11/17/10
Mars;ALBA CATENA;MACA3536N24542;Named formation;Craters chain;CA;ALBA CATENA;Approved by IAU on 1985;Not appliable;Ancient Roma;Latin;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Classical albedo name.;245,42;245 ° 25 ' ;35,36;35 ° 22 '  North;mc03;144.86;???;Mars;157;Alba Catena;Alba Catena;Catena, catenae;CA;144.86;35.36;245.42;36.59;34.14;245.44;245.35;Planetographic  +East  0 - 360;mc03;Classical albedo name.;Europe;Latin;Approved;1985;57;10/01/2006
Mars;ALBA FOSSAE;MAFO4973N25318;Named formation;Long and narrow depression;FO;ALBA FOSSAE;Approved by IAU on 1973;Not appliable;Ancient Roma;Latin;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Classical albedo feature name.;253,18;253 ° 11 ' ;49,73;49 ° 44 '  North;mc03;2072.02;???;Mars;158;Alba Fossae;Alba Fossae;Fossa, fossae;FO;2072.02;49.73;253.18;67.15;34.21;264.08;243.77;Planetographic  +East  0 - 360;mc03;Classical albedo feature name.;Europe;Latin;Approved;1973;57;10/01/2006
Mars;ALBA MONS;MAMO4142N24929;Named formation;Mountain;MO;ALBA MONS;Approved by IAU on Sep 19, 2007;Not appliable;Ancient Roma;Latin;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;American colonial town (New York).;249,29;249 ° 17 ' ;41,42;41 ° 25 '  North;mc03;548.02;???;Mars;14306;Alba Mons;Alba Mons;Mons, montes;MO;548.02;41.42;249.29;45.97;36.86;255.21;243.71;Planetographic  +East  0 - 360;mc03;American colonial town (New York).;Europe;Latin;Approved;Sep 19, 2007;57;9/19/07
Mars;ALBA PATERA;MAPE3986N25082;Named formation;Complex crater;PE;ALBA PATERA;Approved by IAU on 1973;Not appliable;Ancient Roma;Latin;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Classical albedo name.;250,82;250 ° 49 ' ;39,86;39 ° 52 '  North;mc03;65.98;???;Mars;159;Alba Patera;Alba Patera;Patera, paterae;PE;65.98;39.86;250.82;40.28;39.47;251.55;250.12;Planetographic  +East  0 - 360;mc03;Classical albedo name.;Europe;Latin;Approved;1973;57;9/19/07
Mars;ALBANY;MAAA2321N31098;Named formation;Crater;AA;ALBANY;Approved by IAU on 1979;Not appliable;U.S.A.;American;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Town in France.;310,98;310 ° 59 ' ;23,21;23 ° 13 '  North;mc10;2,15;2,15;Mars;160;Albany;Albany;Crater, craters;AA;2.15;23.21;310.98;23.23;23.19;311,00;310.96;Planetographic  +East  0 - 360;mc10;Town in France.;North America;United States;Approved;1979;36;11/17/10
Mars;ALBI;MAAA4181S32499;Named formation;Crater;AA;ALBI;Approved by IAU on 1976;Not appliable;France;French;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;From albedo feature at 20N, 205W.;324,99;324 ° 59 ' ;-41,81;41 ° 49 '  South;mc26;9,07;9,07;Mars;164;Albi;Albi;Crater, craters;AA;9.07;-41.81;324.99;-41.73;-41.89;325.1;324.89;Planetographic  +East  0 - 360;mc26;From albedo feature at 20N, 205W.;Europe;France;Approved;1976;36;11/17/10
Mars;ALBOR FOSSAE;MAFO1829N15078;Named formation;Long and narrow depression;FO;ALBOR FOSSAE;Approved by IAU on 1985;Not appliable;Ancient Roma;Latin;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Classical albedo feature name.;150,78;150 ° 47 ' ;18,29;18 ° 17 '  North;mc15;155,00;???;Mars;165;Albor Fossae;Albor Fossae;Fossa, fossae;FO;155,00;18.29;150.78;18.8;17.94;151.95;149.43;Planetographic  +East  0 - 360;mc15;Classical albedo feature name.;Europe;Latin;Approved;1985;57;10/01/2006
Mars;ALBOR THOLUS;MATH1907N15047;Named formation;Small domical mountain;TH;ALBOR THOLUS;Approved by IAU on 1973;Not appliable;Ancient Roma;Latin;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;"Aleksey; Soviet writer (1882-1945).";150,47;150 ° 28 ' ;19,07;19 ° 4 '  North;mc15;158.38;???;Mars;166;Albor Tholus;Albor Tholus;Tholus, tholi;TH;158.38;19.07;150.47;20.21;17.83;151.88;149.06;Planetographic  +East  0 - 360;mc15;"Aleksey; Soviet writer (1882-1945).";Europe;Latin;Approved;1973;57;10/01/2006
Mars;ALEXEY TOLSTOY;MAAA4778S12534;Named formation;Crater;AA;TOLSTOY Aleksey;Approved by IAU on 1982;Novelist;U.R.S.S.;Soviet;19;19th century;???;1882;???;1945;Town in Kazakhstan.;125,34;125 ° 20 ' ;-47,78;47 ° 47 '  South;mc29;93,04;93,04;Mars;178;Alexey Tolstoy;Alexey Tolstoy;Crater, craters;AA;93.04;-47.78;125.34;-46.99;-48.56;126.5;124.18;Planetographic  +East  0 - 360;mc29;Town in Kazakhstan.;Europe;Soviet;Approved;1982;;11/17/10
Mars;ALGA;MAAA2460S33332;Named formation;Crater;AA;ALGA;Approved by IAU on 1976;Not appliable;Kazakhstan;Kazakh;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Town in Lithuania.;333,32;333 ° 19 ' ;-24,60;24 ° 36 '  South;mc19;18,72;18,72;Mars;182;Alga;Alga;Crater, craters;AA;18.72;-24.6;333.32;-24.44;-24.75;333.5;333.15;Planetographic  +East  0 - 360;mc19;Town in Lithuania.;Asia;Kazakhstan;Approved;1976;36;11/17/10
