BODY;NAME;P.U.N.;NAME TYPE;TYPE;TYPECODE;NAME DETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHDATE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated;Additional_Info
Callisto;THORIR;CAAA3190S29330;Named formation;Crater;AA;THORIR;Approuved by IAU in 1997;God;Norway;Norvegian;Not appliable;Not appliable;Not appliable;Not appliable;Ottar's ancestor.;293,30;293°18';-31,90;-31°53';62,70;62,70;Callisto;5980;Thorir;Thorir;Crater, craters;AA;62.7;-31.9;293.3;-31.2;-32.6;294.1;292.3;Planetographic  +East  0 - 360;;Ottar's ancestor.;Europe;Norway;Approved;1997;17;10/01/2006;
Callisto;TINDR;CAAA230S450;Named formation;Crater;AA;TINDR;Approuved by IAU in 1979;God;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;Ottar's ancestor.;4,50;4°30';-2,30;-2°18';75,80;75,80;Callisto;6015;Tindr;Tindr;Crater, craters;AA;75.8;-2.3;4.5;-1.5;-3.2;5.4;3.6;Planetographic  +East  0 - 360;;"Norse; Ottar's ancestor.";Europe;Norse;Approved;1979;17;10/01/2006;
Callisto;TONTU;CAAA2760N25970;Named formation;Crater;AA;TONTU;Approuved by IAU in 1988;God;Finland;Finnish;Not appliable;Not appliable;Not appliable;Not appliable;God of housekeeping.;259,70;259°41';27,60;27°36';40,20;40,20;Callisto;6058;Tontu;Tontu;Crater, craters;AA;40.2;27.6;259.7;28,00;27.1;260.2;259.1;Planetographic  +East  0 - 360;;Finnish god of housekeeping.;Europe;Finland;Approved;1988;64;10/01/2006;
Callisto;TORNARSUK;CAAA2880N23240;Named formation;Crater;AA;TORNARSUK;Approuved by IAU in 1979;Hero;Greenland;Eskimo;Not appliable;Not appliable;Not appliable;Not appliable;Legendary hero.;232,40;232°24';28,80;28°48';99,00;99,00;Callisto;6063;Tornarsuk;Tornarsuk;Crater, craters;AA;99,00;28.8;232.4;29.9;27.7;233.6;231.1;Planetographic  +East  0 - 360;;Greenland legendary hero.;North America;Eskimo;Approved;1979;27;10/01/2006;
Callisto;TYLL;CAAA4480N19350;Named formation;Crater;AA;TYLL;Approuved by IAU in 1988;Hero;Estonia;Estonian;Not appliable;Not appliable;Not appliable;Not appliable;Epic hero, struggled with a giant.;193,50;193°30';44,80;44°47';68,70;68,70;Callisto;6165;Tyll;Tyll;Crater, craters;AA;68.7;44.8;193.5;45.7;44,00;194.6;192.4;Planetographic  +East  0 - 360;;"Estonian epic hero; struggled with a giant.";Europe;Estonia;Approved;1988;64;10/01/2006;
Callisto;TYN;CAAA7110N12750;Named formation;Crater;AA;TYN;Approuved by IAU in 1979;God;Germany;Teutonic;Not appliable;Not appliable;Not appliable;Not appliable;Great god of Germanic peoples.;127,50;127°30';71,10;71°5';63,00;63,00;Callisto;6166;Tyn;Tyn;Crater, craters;AA;63,00;71.1;127.5;71.7;70.3;129.6;125.5;Planetographic  +East  0 - 360;;Great god of Germanic peoples.;Europe;Teutonic;Approved;1979;1;10/01/2006;
Callisto;UKSAKKA;CAAA4950S31780;Named formation;Crater;AA;UKSAKKA;Approuved by IAU in 1997;Goddess;Lapland;Saami;Not appliable;Not appliable;Not appliable;Not appliable;Protector goddess.;317,80;317°48';-49,50;-49°30';22,50;22,50;Callisto;6194;Uksakka;Uksakka;Crater, craters;AA;22.5;-49.5;317.8;-49.2;-49.8;318.2;317.3;Planetographic  +East  0 - 360;;Lapp protector goddess.;Europe;Lapp;Approved;1997;83;10/01/2006;
Callisto;UTGARD;CALG4500N22600;Named formation;Large ring feature;LG;UTGARD;Approuved by IAU in 2000;Not appliable;Germany;Teutonic;Not appliable;Not appliable;Not appliable;Not appliable;Home of giants.;226,00;226°0';45,00;45°0';610,00;610,00;Callisto;6256;Utgard;Utgard;Large ringed feature;LG;610,00;45,00;226,00;52.5;39,00;236,00;215.5;Planetographic  +East  0 - 360;;Teutonic home of giants.;Europe;Teutonic;Approved;2000;27;10/01/2006;
Callisto;VALFODR;CAAA130S11300;Named formation;Crater;AA;VALFODR;Approuved by IAU in 1979;God;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;Another name for Odin, god of wisdom.;113,00;113°0';-1,30;-1°18';101,50;101,50;Callisto;6282;ValfÇôdr;Valfodr;Crater, craters;AA;101.5;-1.3;113,00;-0.1;-2.4;114.3;111.6;Planetographic  +East  0 - 360;;"Norse; a name for Odin, god of wisdom.";Europe;Norse;Approved;1979;17;11/17/08;
Callisto;VALHALLA;CALG1470N30400;Named formation;Large ring feature;LG;VALHALLA;Approuved by IAU in 1979;Not appliable;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;Odin's hall, where he received the souls of slain warriors.;304,00;304°0';14,70;14°42';3 000,00;3 000,00;Callisto;6284;Valhalla;Valhalla;Large ringed feature;LG;3 000,00;14.7;304,00;53.2;-17,00;341,00;277,00;Planetographic  +East  0 - 360;;"Norse; Odin's hall, where he received the souls of slain warriors.";Europe;Norse;Approved;1979;17;10/01/2006;
Callisto;VALI;CAAA970N3470;Named formation;Crater;AA;VALI;Approuved by IAU in 1979;God;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;Ottar's ancestor.;34,70;34°42';9,70;9°42';54,30;54,30;Callisto;6285;Vali;Vali;Crater, craters;AA;54.3;9.7;34.7;10.3;9,00;35.4;34.1;Planetographic  +East  0 - 360;;"Norse; Ottar's ancestor.";Europe;Norse;Approved;1979;17;10/01/2006;
Callisto;VANAPAGAN;CAAA3950N20150;Named formation;Crater;AA;VANAPAGAN;Approuved by IAU in 1988;Hero;Estonia;Estonian;Not appliable;Not appliable;Not appliable;Not appliable;Wicked giant.;201,50;201°30';39,50;39°30';62,70;62,70;Callisto;6318;Vanapagan;Vanapagan;Crater, craters;AA;62.7;39.5;201.5;40.2;38.7;202.4;200.6;Planetographic  +East  0 - 360;;Estonian, a wicked giant.;Europe;Estonia;Approved;1988;64;10/01/2006;
Callisto;VERALDEN;CAAA3330N26450;Named formation;Crater;AA;VERALDEN;Approuved by IAU in 1988;God;Lapland;Saami;Not appliable;Not appliable;Not appliable;Not appliable;God of fertility.;264,50;264°30';33,30;33°17';75,20;75,20;Callisto;6351;Veralden;Veralden;Crater, craters;AA;75.2;33.3;264.5;34.2;32.4;265.5;263.4;Planetographic  +East  0 - 360;;Saami god of fertility.;Europe;Lapp;Approved;1988;64;10/01/2006;
