BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated
Vénus;STEIN;VEAA3010S34550;Formation nommée;Cratère;AA;Gertrude STEIN;Approuvé par l'UAI en 1991;Ecrivain;U.S.A.;américain(e );20;20 ème siècle;;1874;;1946;;345.5;345 ° 30 ' ;-30.1;30 ° 6 '  Sud;v55;13.3;13.3;Venus;5691;Stein;Stein;Crater, craters;AA;13.3;-30.1;345.5;;;;;Planetographic  +East  0 - 360;v55;Gertrude. American writer (1874-1946).;North America;American;Approved;1991;100;10.01.2006
Vénus;STEINBACH;VEAA4140S25690;Formation nommée;Cratère;AA;Sabina STEINBACH;Approuvé par l'UAI en 1994;Sculpteur;Allemagne;allemand(e );13;13 ème siècle;;??;;1250;;256.9;256 ° 6 ' ;-41.4;41 ° 24 '  Sud;v52;20.3;20.3;Venus;5692;Steinbach;Steinbach;Crater, craters;AA;20.3;-41.4;256.9;;;;;Planetographic  +East  0 - 360;v52;Sabina. German sculptor (c. 1250).;Europe;Germany;Approved;1994;99;10.01.2006
Vénus;STINA;VEAA3740N2280;Formation nommée;Cratère;AA;STINA;Approuvé par l'UAI en 1985;Non applicable;Suède;suédois(e );Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Prénom suédois.;22.8;22 ° 12 ' ;37.4;37 ° 24 '  Nord;v08;10.4;10.4;Venus;5709;Stina;Stina;Crater, craters;AA;10.4;37.4;22.8;;;;;Planetographic  +East  0 - 360;v08;Swedish first name.;Europe;Sweden;Approved;1985;98;10.01.2006
Vénus;STOPES PATERA;VEPE4260N4650;Formation nommée;Cratère complexe;PE;Marie STOPES;Approuvé par l'UAI en 1991;Paléontologue;Grande Bretagne;britannique;20;20 ème siècle;;1880;;1959;;46.5;46 ° 30 ' ;42.6;42 ° 36 '  Nord;v09;169;;Venus;5718;Stopes Patera;Stopes Patera;Patera, paterae;PE;169;42.6;46.5;43.1;41.8;47.1;45.7;Planetographic  +East  0 - 360;v09;Marie. English paleontologist (1880-1959).;Europe;Great Britain;Approved;1991;46;10.01.2006
Vénus;STORNI;VEAA980S24560;Formation nommée;Cratère;AA;Alfonsina STORNI;Approuvé par l'UAI en 1994;Poète;Argentine;argentin(e );20;20 ème siècle;;1892;;1938;;245.6;245 ° 24 ' ;-9.8;9 ° 48 '  Sud;v40;21.7;21.7;Venus;5719;Storni;Storni;Crater, craters;AA;21.7;-9.8;245.6;;;;;Planetographic  +East  0 - 360;v40;Alfonsina. Argentine poet (1892-1938).;South and Central America;Argentina;Approved;1994;99;10.01.2006
Vénus;STOWE;VEAA4320S23320;Formation nommée;Cratère;AA;Harriet B.STOWE;Approuvé par l'UAI en 1994;Romancier;U.S.A.;américain(e );19;19 ème siècle;;1811;;1896;;233.2;233 ° 48 ' ;-43.2;43 ° 12 '  Sud;v51;80;80;Venus;5720;Stowe;Stowe;Crater, craters;AA;80;-43.2;233.2;;;;;Planetographic  +East  0 - 360;v51;Harriet B.. American novelist (1811-1896).;North America;American;Approved;1994;99;10.01.2006
Vénus;STRENIA FLUCTUS;VEFL4100N25000;Formation nommée;Terrain avec écoulement;FL;STRENIA FLUCTUS;Approuvé par l'UAI en 1997;Non applicable;Rome antique;romain(e );Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Déesse romaine des festivités du Nouvel An.;250;250 ° 0 ' ;41;41 ° 0 '  Nord;v16;490;;Venus;5725;Strenia Fluctus;Strenia Fluctus;Fluctus, fluctÅ«s;FL;490;41;250;;;;;Planetographic  +East  0 - 360;v16;Roman goddess of New Year festivities.;Europe;Roman;Approved;1997;83;10.01.2006
Vénus;STUART;VEAA3080S2020;Formation nommée;Cratère;AA;Mary STUART;Approuvé par l'UAI en 1991;Reine;Ecosse;écossais(e );16;16 ème siècle;;1542;;1587;Reine des Ecossais.;20.2;20 ° 48 ' ;-30.8;30 ° 48 '  Sud;v44;68.6;68.6;Venus;5729;Stuart;Stuart;Crater, craters;AA;68.6;-30.8;20.2;;;;;Planetographic  +East  0 - 360;v44;Mary. Queen of Scots (1542-1587).;Europe;Scotland;Approved;1991;99;10.01.2006
Vénus;SU ANASY CORONA;VECR7800S3900;Formation nommée;Formation ovoïde;CR;SU ANASY CORONA;Approuvé par l'UAI en 1997;Non applicable;Peuple tartare;tartare;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Mère de l'eau chez les Tartares.;39;39 ° 0 ' ;-78;78 ° 0 '  Sud;v62;300;;Venus;5738;Su-Anasy Corona;Su Anasy Corona;Corona, coronae;CR;300;-78;39;;;;;Planetographic  +East  0 - 360;v62;Tartar/Kumyk/Karachay mother of water.;Europe;Tartar;Approved;1997;107;12/30/08
Vénus;SUDENITSA TESSERAE;VETE3300N27000;Formation nommée;Terrain polygonal;TE;SUDENITSA TESSERAE;Approuvé par l'UAI en 1997;Non applicable;Peuple slave;slave;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Divinités slaves (3 sœurs).;270;270 ° 0 ' ;33;33 ° 0 '  Nord;;4200;;Venus;5743;Sudenitsa Tesserae;Sudenitsa Tesserae;Tessera, tesserae;TE;4200;33;270;;;;;Planetographic  +East  0 - 360;;Slavic fate deities (three sisters).;Europe;Slavic;Approved;1997;107;12/30/08
