BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;LENGTHKM;WIDEKM;LENGHTMI;WIDEMI;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;PUN;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated;Additional_Info
Mercure;BEAGLE RUPES;MERU343S10072;Formation nommée;Escarpement;RU;BEAGLE RUPES;Approuvé par l'UAI en Apr 8, 2008;Navire;Royaume Uni;britannique;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Navire sur lequel Charles Darwin était naturaliste lors d'un voyage d'études, 1831-1836.;100.72;100 ° 17 '  E;-3.43;4 ° 26 ' S;H-09;630.89;??;381;??;Mercury;14390;Beagle Rupes;Beagle Rupes;Rupes, rupÄ"s;RU;630.89;-3.43;100.72;2.24;-7.51;106.41;100.66;MRU343S10072;Planetographic  +East  0 - 360;H-09;British. naval vessel aboard which Charles Darwin served as a naturalist on a surveying expedition, 1831-1836.;Europe;Great Britain;Approved;Apr 8, 2008;59;03.07.2011;
Mercure;BECKETT;MEAA4016S11133;Formation nommée;Cratère;AA;Clarice BECKETT;Approuvé par l'UAI en Nov 20, 2008;Peintre;Australie;australien(ne);20;20 ème siècle;???;1887;???;1935;???;111.33;111 ° 40 '  E;-40.16;41 ° 10 ' S;H-13;60.24;60.24;36;36;Mercury;14511;Beckett;Beckett;Crater, craters;AA;60.24;-40.16;111.33;-39.45;-40.87;112.26;110.41;MAA4016S11133;Planetographic  +East  0 - 360;H-13;Clarice. Australian painter (1887-1935).;Oceania;Australia;Approved;Nov 20, 2008;210;03.07.2011;
Mercure;BEETHOVEN;MEAA2092S23634;Formation nommée;Cratère;AA;Ludwig van BEETHOVEN;Approuvé par l'UAI en 1976;Compositeur;Allemagne;allemand(e );19;19 ème siècle;???;1770;???;1827;???;236.34;123 ° 40 '  O;-20.92;21 ° 55 ' S;H-07;630.38;630.38;381;381;Mercury;660;Beethoven;Beethoven;Crater, craters;AA;630.38;-20.92;236.34;-13.5;-28.33;244.25;228.41;MAA2092S23634;Planetographic  +East  0 - 360;H-07;Ludwig van. German composer of Flemish descent (1770-1827).;Europe;Germany;Approved;1976;59;03.07.2011;
Mercure;BEK;MEAA2118N30908;Formation nommée;Cratère;AA;BEK;Approuvé par l'UAI en Mar 3, 2010;Sculpteur;Egypte;égyptien(ne);-14;14 ème siècle av J.C.;???;1340;???;B.C.;???;309.08;50 ° 55 '  O;21.18;21 ° 49 ' N;H-06;32.19;32.19;19;19;Mercury;14641;Bek;Bek;Crater, craters;AA;32.19;21.18;309.08;21.55;20.8;309.49;308.68;MAA2118N30908;Planetographic  +East  0 - 360;H-06;Egyptian sculptor (active c. 1340 B.C.).;Africa;Egypt;Approved;Mar 3, 2010;211;03.07.2011;
Mercure;BELINSKIJ;MEAA7709S25615;Formation nommée;Cratère;AA;Vissarion Grigoryevich BELINSKIJ;Approuvé par l'UAI en 1985;Journaliste;Russie;russe;19;19 ème siècle;???;1811;???;1848;???;256.15;103 ° 51 '  O;-77.09;78 ° 5 ' S;H-15;70.67;70.67;42;42;Mercury;670;Belinskij;Belinskij;Crater, craters;AA;70.67;-77.09;256.15;-76.26;-77.92;259.87;252.43;MAA7709S25615;Planetographic  +East  0 - 360;H-15;Vissarion Grigoryevich. Russian literary critic and journalist (1811-1848).;Europe;Russia;Approved;1985;59;03.07.2011;
Mercure;BELLO;MEAA1889S23992;Formation nommée;Cratère;AA;Andres BELLO;Approuvé par l'UAI en 1976;Poète;Vénézuéla;vénézuélien(ne);19;19 ème siècle;???;1781;???;1865;???;239.92;120 ° 5 '  O;-18.89;19 ° 53 ' S;H-07;139.13;139.13;84;84;Mercury;675;Bello;Bello;Crater, craters;AA;139.13;-18.89;239.92;-17.26;-20.53;241.65;238.2;MAA1889S23992;Planetographic  +East  0 - 360;H-07;Andres. Venezuelan poet and scholar (1781-1865).;South and Central America;Venezuela;Approved;1976;80;03.07.2011;
Mercure;BENOIT;MEAA751N10441;Formation nommée;Cratère;AA;Rigaud BENOIT;Approuvé par l'UAI en Jul 9, 2009;Peintre;Haiti;haitien(ne);20;20 ème siècle;???;1911;???;1987;???;104.41;104 ° 35 '  E;7.51;7 ° 29 ' N;H-09;40.12;40.12;24;24;Mercury;14575;Benoit;Benoit;Crater, craters;AA;40.12;7.51;104.41;7.98;7.04;104.88;103.93;MAA751N10441;Planetographic  +East  0 - 360;H-09;Rigaud. Haitian painter (1911-1987).;South and Central America;Haiti;Approved;Jul 9, 2009;214;03.07.2011;
Mercure;BERKEL;MEAA1370S2677;Formation nommée;Cratère;AA;Sabri BERKEL;Approuvé par l'UAI en Jul 9, 2009;Peintre;Turquie;turc(que);20;20 ème siècle;???;1909;???;1993;???;26.77;26 ° 14 '  E;-13.7;14 ° 42 ' S;H-10;22.4;22.4;13;13;Mercury;14576;Berkel;Berkel;Crater, craters;AA;22.4;-13.7;26.77;-13.43;-13.96;27.04;26.5;MAA1370S2677;Planetographic  +East  0 - 360;H-10;Sabri. Turkish painter and printmaker (1909-1993).;Asia;Turkey;Approved;Jul 9, 2009;211;03.07.2011;
Mercure;BERNINI;MEAA8033S21937;Formation nommée;Cratère;AA;Gian Lorenzo BERNINI;Approuvé par l'UAI en 1976;Sculpteur;Italie;italien(ne);17;17 ème siècle;???;1598;???;1680;???;219.37;140 ° 38 '  O;-80.33;81 ° 20 ' S;H-15;168.13;168.13;101;101;Mercury;708;Bernini;Bernini;Crater, craters;AA;168.13;-80.33;219.37;-78.36;-82.3;231.2;207.54;MAA8033S21937;Planetographic  +East  0 - 360;H-15;Gian Lorenzo. Italian sculptor and architect (1598-1680).;Europe;Italy;Approved;1976;59;03.07.2011;
Mercure;BJORNSON;MEAA7307N24548;Formation nommée;Cratère;AA;Bjornstjerne BJORNSON;Approuvé par l'UAI en 1985;Poète;Norvège;norvégien(ne);20;20 ème siècle;???;1832;???;1910;???;245.48;114 ° 31 '  O;73.07;73 ° 56 ' N;H-01;75.93;75.93;45;45;Mercury;761;Bjornson;Bjornson;Crater, craters;AA;75.93;73.07;245.48;73.96;72.18;248.54;242.42;MAA7307N24548;Planetographic  +East  0 - 360;H-01;Bjornstjerne. Norwegian poet and dramatist (1832-1910).;Europe;Norway;Approved;1985;59;03.07.2011;
