BODY;NAME;TYPECODE;LONGIN;LATIN;LENGTHKM;Feature_ID;Feature_Name;Clean_Feature_Name;Target;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Continent;Ethnicity;Feature_Type;Feature_Type_Code;Quad;Approval_Status;Approval_Date;Reference;Origin;Additional_Info;Last_Updated
Venus;Shala Mons;MO;208;39.4;90;5459;Shala Mons;Shala Mons;Venus;90;39.4;208;39.8;39;208.5;207.5;Planetocentric  +East  0 - 360;Asia;Phoenician;Mons, montes;MO;v14;Approved;2006;83;Canaanite (Phoenicia) storm goddess.;;10/1/06
Venus;Shamiram Tholus;TH;335.2;-6.9;10;5464;Shamiram Tholus;Shamiram Tholus;Venus;10;-6.9;335.2;-6.9;-6.9;335.2;335.2;Planetocentric  +East  0 - 360;Asia;Armenian;Tholus, tholi;TH;v43;Approved;2000;65;Armenian goddess of love.;;12/30/08
Venus;Shasenem;AA;258.9;-44;9;5475;Shasenem;Shasenem;Venus;9;-44;258.9;-44;-44;258.9;258.9;Planetocentric  +East  0 - 360;Asia;Turkmenistan;Crater, craters;AA;v52;Approved;1997;107;Turkman first name.;;12/30/08
Venus;Sheila;AA;50.2;19.9;5.6;5481;Sheila;Sheila;Venus;5.6;19.9;50.2;19.9;19.9;50.2;50.2;Planetocentric  +East  0 - 360;Europe;Ireland;Crater, craters;AA;v21;Approved;1997;107;Irish/Celtic first name.;;10/1/06
Venus;Shelikhova Patera;PE;162.5;-75.7;60;5482;Shelikhova Patera;Shelikhova Patera;Venus;60;-75.7;162.5;-75.7;-75.7;162.5;162.5;Planetocentric  +East  0 - 360;Europe;Russia;Patera, paterae;PE;v62;Approved;1997;107;Natalia. Russian explorer of Alaska (c. 1750-c. 1800).;;12/30/08
Venus;Shih Mai Yu;AA;318.9;18.4;22.3;5488;Shih Mai-Yu;Shih Mai Yu;Venus;22.3;18.4;318.9;18.4;18.4;318.9;318.9;Planetocentric  +East  0 - 360;Asia;China;Crater, craters;AA;v30;Approved;1994;99;Chinese physician (1873-1954).;;10/1/06
Venus;Shimti Tessera;TE;97.7;31.9;1275;5489;Shimti Tessera;Shimti Tessera;Venus;1275;31.9;97.7;36.4;27.3;102.6;93.7;Planetocentric  +East  0 - 360;Asia;Babylon;Tessera, tesserae;TE;v11;Approved;1985;27;Babylonian. Ishtar as the goddess of fate.;;10/1/06
Venus;Shirley;AA;55.4;31.5;18;5491;Shirley;Shirley;Venus;18;31.5;55.4;31.5;31.5;55.4;55.4;Planetocentric  +East  0 - 360;Europe;England;Crater, craters;AA;v09;Approved;2000;109;English first name.;;10/1/06
Venus;Shishimora Dorsa;DO;297;37;800;5492;Shishimora Dorsa;Shishimora Dorsa;Venus;800;37;297;37;37;297;297;Planetocentric  +East  0 - 360;Europe;Slavic;Dorsum, dorsa;DO;v17;Approved;1997;107;E. Slavic night and dreams deity.;;12/30/08
Venus;Shiwanokia Corona;CR;279.8;-42;500;5493;Shiwanokia Corona;Shiwanokia Corona;Venus;500;-42;279.8;-42;-42;279.8;279.8;Planetocentric  +East  0 - 360;North America;Pueblo;Corona, coronae;CR;v53;Approved;1994;27;Zuni fertility goddess.;;10/1/06
Venus;Sholpan Vallis;VA;150;-63.9;590;5498;Sholpan Vallis;Sholpan Vallis;Venus;590;-63.9;150;-62;-64.2;155.5;145;Planetocentric  +East  0 - 360;Asia;Kazakhstan;Vallis, valles;VA;v58;Approved;2003;65;Kazakh and Karakalpak name of planet Venus.;;12/30/08
Venus;Shulamite Corona;CR;284.3;-38.8;275;5505;Shulamite Corona;Shulamite Corona;Venus;275;-38.8;284.3;-38.8;-38.8;284.3;284.3;Planetocentric  +East  0 - 360;Asia;Hebrew;Corona, coronae;CR;v53;Approved;1997;83;Hebrew fertility goddess.;;10/1/06
Venus;Shulzhenko Patera;PE;264.5;6.5;60;5507;Shulzhenko Patera;Shulzhenko Patera;Venus;60;6.5;264.5;6.5;6.5;264.5;264.5;Planetocentric  +East  0 - 360;Europe;Soviet;Patera, paterae;PE;v28;Approved;1997;107;Klavdiya. Soviet singer (1906-1984).;;12/30/08
Venus;Shushan;AA;70.2;-43.8;8.5;5509;Shushan;Shushan;Venus;8.5;-43.8;70.2;-43.8;-43.8;70.2;70.2;Planetocentric  +East  0 - 360;Asia;Armenian;Crater, craters;AA;v46;Approved;1997;107;Armenian first name.;;12/30/08
Venus;Shyv Amashe Corona;CR;63;-57;410;5510;Shyv-Amashe Corona;Shyv Amashe Corona;Venus;410;-57;63;-57;-57;63;63;Planetocentric  +East  0 - 360;Europe;Chuvash;Corona, coronae;CR;v57;Approved;1997;107;Chuvash (Volga Region) main water goddess.;;12/30/08
Venus;Sicasica Fluctus;FL;180.4;-52;175;5514;Sicasica Fluctus;Sicasica Fluctus;Venus;175;-52;180.4;-52;-52;180.4;180.4;Planetocentric  +East  0 - 360;South and Central America;Bolivia;Fluctus, fluctūs;FL;v59;Approved;1994;111;Aymara (Bolivia) mountain goddess.;;10/1/06
Venus;Siddons;AA;340.6;61.6;47;6906;[Siddons];Siddons;Venus;47;61.6;340.6;61.7;61.5;341.1;340;Planetocentric  +East  0 - 360;Europe;Great Britain;Crater, craters;AA;v07;Dropped;1992;46;Sarah. English actress (1755-1831). Changed to Siddons Patera.;;3/1/07
Venus;Siddons Patera;PE;340.6;61.6;47;5518;Siddons Patera;Siddons Patera;Venus;47;61.6;340.6;61.6;61.6;340.6;340.6;Planetocentric  +East  0 - 360;Europe;Great Britain;Patera, paterae;PE;v07;Approved;1997;46;Sarah. English actress (1755-1831).;;10/1/06
Venus;Sidney;AA;199.6;13.4;20.2;5519;Sidney;Sidney;Venus;20.2;13.4;199.6;13.4;13.4;199.6;199.6;Planetocentric  +East  0 - 360;Europe;England;Crater, craters;AA;v26;Approved;1994;100;Mary. Elizabethan dramatist (1561-1621).;;10/1/06
Venus;Siduri Mons;MO;297.3;-42.3;105;5521;Siduri Mons;Siduri Mons;Venus;105;-42.3;297.3;-42.3;-42.3;297.3;297.3;Planetocentric  +East  0 - 360;Asia;Babylon;Mons, montes;MO;v53;Approved;1997;83;Babylonian goddess of wine and wisdom.;;10/1/06
Venus;Sif Mons;MO;352.4;22;200;5524;Sif Mons;Sif Mons;Venus;200;22;352.4;22.7;21.2;352.7;352;Planetocentric  +East  0 - 360;Europe;Germany;Mons, montes;MO;v31;Approved;1982;1;Teutonic goddess. Thor's wife.;;10/1/06
Venus;Sige Dorsa;DO;106.9;31.2;478;5525;Sige Dorsa;Sige Dorsa;Venus;478;31.2;106.9;34.1;29;108.4;105.3;Planetocentric  +East  0 - 360;Asia;Babylon;Dorsum, dorsa;DO;v11;Approved;1991;64;Babylonian sky goddess.;;10/1/06
Venus;Sigrid;AA;314.4;63.6;16.2;5527;Sigrid;Sigrid;Venus;16.2;63.6;314.4;63.6;63.6;314.4;314.4;Planetocentric  +East  0 - 360;Europe;Scandinavian;Crater, craters;AA;v07;Approved;1985;83;Scandinavian first name.;;10/1/06
Venus;Sigrun Fossae;FO;18;50.5;970;5528;Sigrun Fossae;Sigrun Fossae;Venus;970;50.5;18;53;48;19;17;Planetocentric  +East  0 - 360;Europe;Norse;Fossa, fossae;FO;v02;Approved;1985;1;Norse Valkyrie.;;10/1/06
Venus;Siksaup Dorsa;DO;228;-73;650;5532;Siksaup Dorsa;Siksaup Dorsa;Venus;650;-73;228;-73;-73;228;228;Planetocentric  +East  0 - 360;Asia;Burma;Dorsum, dorsa;DO;v59;Approved;1997;107;Kachin (Burma/Myanmar) sun goddess.;;10/1/06
Venus;Silvia Corona;CR;355.7;12.6;270;5536;Silvia Corona;Silvia Corona;Venus;270;12.6;355.7;12.6;12.6;355.7;355.7;Planetocentric  +East  0 - 360;Europe;Roman;Corona, coronae;CR;v31;Approved;1997;83;Roman earth goddess.;;10/1/06
Venus;Simbya;AA;130;-74.4;4;5537;Simbya;Simbya;Venus;4;-74.4;130;-74.4;-74.4;130;130;Planetocentric  +East  0 - 360;Asia;Siberia;Crater, craters;AA;v58;Approved;1997;107;Nganasan (Samoyed) first name.;;12/30/08
Venus;Simone;AA;82;59.5;14;6907;[Simone];Simone;Venus;14;59.5;82;59.5;59.5;82;82;Planetocentric  +East  0 - 360;Europe;France;Crater, craters;AA;v03;Dropped;1994;98;French first name.;;3/1/07
Venus;Simonenko;AA;97.6;-26.9;31.9;5540;Simonenko;Simonenko;Venus;31.9;-26.9;97.6;-26.9;-26.9;97.6;97.6;Planetocentric  +East  0 - 360;Europe;Russia;Crater, craters;AA;v47;Approved;1991;107;Alla Nikolayevna. Soviet astronomer (1935-1984).;;7/20/12
