BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated
Venus;ZAMUDIO;VEAA960N18930;Named formation;Crater;AA;Adela ZAMUDIO;Approved by IAU in 1994;Poet;Bolivia;Bolivian;19;19 th century;;1854;;1928;;189.3;189 ° 42 ' ;9.6;9 ° 36 '  North;v26;19;19;Venus;6699;Zamudio;Zamudio;Crater, craters;AA;19;9.6;189.3;;;;;Planetographic  +East  0 - 360;v26;Adela. Bolivian poet (1854-1928).;South and Central America;Bolivia;Approved;1994;99;10.01.2006
Venus;ZARAMAMA CORONA;VECR2200S24050;Named formation;Ovoid shaped feature;CR;ZARAMAMA CORONA;Approved by IAU in 2000;Not appliable;Peru;Peruvian;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Quechua (Peru) maize deity.;240.5;240 ° 30 ' ;-22;22 ° 0 '  South;v40;240;;Venus;6702;Zaramama Corona;Zaramama Corona;Corona, coronae;CR;240;-22;240.5;;;;;Planetographic  +East  0 - 360;v40;Quechua (Peru) maize deity.;South and Central America;Peru;Approved;2000;65;5/15/10
Venus;ZAREMA;VEAA1680N23520;Named formation;Crater;AA;ZAREMA;Approved by IAU in 1997;Not appliable;Caucasus;Caucasian;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Avarian (Daghestan) first name.;235.2;235 ° 48 ' ;16.8;16 ° 48 '  North;v27;5;5;Venus;6703;Zarema;Zarema;Crater, craters;AA;5;16.8;235.2;;;;;Planetographic  +East  0 - 360;v27;Avarian (Daghestan) first name.;Europe;Caucasus;Approved;1997;107;12/30/08
Venus;ZARYANITSA DORSA;VEDO0N17000;Named formation;Ridge;DO;ZARYANITSA DORSA;Approved by IAU in 1997;Not appliable;Slavic people;Slavic;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;E. Slavic night lightning goddess.;170;170 ° 0 ' ;0;0 ° 0 '  North;;1100;;Venus;6705;Zaryanitsa Dorsa;Zaryanitsa Dorsa;Dorsum, dorsa;DO;1100;0;170;;;;;Planetographic  +East  0 - 360;;E. Slavic night lightning goddess.;Europe;Slavic;Approved;1997;107;12/30/08
Venus;ZDRAVKA;VEAA6510N29900;Named formation;Crater;AA;ZDRAVKA;Approved by IAU in 1985;Not appliable;Bulgaria;Bulgarian;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Bulgarian first name.;299;299 ° 0 ' ;65.1;65 ° 6 '  North;v06;12.5;12.5;Venus;6707;Zdravka;Zdravka;Crater, craters;AA;12.5;65.1;299;;;;;Planetographic  +East  0 - 360;v06;Bulgarian first name.;Europe;Bulgaria;Approved;1985;98;10.01.2006
Venus;ZEINAB;VEAA220S15960;Named formation;Crater;AA;ZEINAB;Approved by IAU in 1997;Not appliable;Persia;Persian;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Persian first name.;159.6;159 ° 24 ' ;-2.2;2 ° 12 '  South;v37;12.5;12.5;Venus;6712;Zeinab;Zeinab;Crater, craters;AA;12.5;-2.2;159.6;;;;;Planetographic  +East  0 - 360;v37;Persian first name.;Asia;Persian;Approved;1997;107;10.01.2006
Venus;ZEMAITE PATERA;VEPE3500S26300;Named formation;Complex crater;PE;Julia ZEMAITE PATERA;Approved by IAU in 1997;Writer;Lithuania;Lithuanian;20;20 th century;;1845;;1921;;263;263 ° 0 ' ;-35;35 ° 0 '  South;v52;60;;Venus;6943;Å?emaite Patera;Zemaite Patera;Patera, paterae;PE;60;-35;263;;;;;Planetographic  +East  0 - 360;v52;Julia. Lithuanian writer (1845-1921).;Europe;Lithuania;Approved;1997;107;11/17/08
Venus;ZEMFIRA;VEAA4620S15770;Named formation;Crater;AA;ZEMFIRA;Approved by IAU in 1997;Not appliable;Gypsy people;Gypsy;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Gypsy first name.;157.7;157 ° 18 ' ;-46.2;46 ° 12 '  South;v49;11.4;11.4;Venus;6714;Zemfira;Zemfira;Crater, craters;AA;11.4;-46.2;157.7;;;;;Planetographic  +East  0 - 360;v49;Gypsy first name.;Europe;Gypsy;Approved;1997;107;10.01.2006
Venus;ZEMINA CORONA;VECR1170S18600;Named formation;Ovoid shaped feature;CR;ZEMINA CORONA;Approved by IAU in 1994;Not appliable;Lithuania;Lithuanian;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Lithuanian fertility goddess.;186;186 ° 0 ' ;-11.7;11 ° 42 '  South;v38;530;;Venus;6944;Å?emina Corona;Zemina Corona;Corona, coronae;CR;530;-11.7;186;;;;;Planetographic  +East  0 - 360;v38;Lithuanian fertility goddess.;Europe;Lithuania;Approved;1994;107;11/17/08
Venus;ZEMIRE CORONA;VECR3150N31250;Named formation;Ovoid shaped feature;CR;ZEMIRE CORONA;Approved by IAU in 1997;Not appliable;Caucasus;Caucasian;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Kumyk (Daghestan) fertility goddess.;312.5;312 ° 30 ' ;31.5;31 ° 30 '  North;v18;200;;Venus;6715;Zemire Corona;Zemire Corona;Corona, coronae;CR;200;31.5;312.5;;;;;Planetographic  +East  0 - 360;v18;Kumyk (Daghestan) fertility goddess.;Europe;Caucasus;Approved;1997;107;12/30/08
