BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHDATE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated;Additional_Info
Ganymede;PHILUS SULCUS;GASU4410N15050;Named formation;Subparallel furrows and ridges;SU;PHILUS SULCUS;Approuved by IAU in 1979;Non appliable;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Greek / where Ganymede and Hebe were worshipped as rain-givers.;150,50;150°30';44,10;44°6' North;465,00;???;Ganymede;4694;Philus Sulcus;Philus Sulcus;Sulcus, sulci;SU;465,00;44.1;150.5;49,00;38.7;157.8;144.8;Planetographic  +East  0 - 360;;"Greek; where Ganymede and Hebe were worshipped as rain-givers.";Europe;Greek;Approved;1979;1;10/01/2006;
Ganymede;PHRYGIA SULCUS;GASU1240N33650;Named formation;Subparallel furrows and ridges;SU;PHRYGIA SULCUS;Approuved by IAU in 1979;Non appliable;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Greek / kingdom in Asia Minor where Ganymede was born.;336,50;336°30';12,40;12°24' North;3 700,00;???;Ganymede;4712;Phrygia Sulcus;Phrygia Sulcus;Sulcus, sulci;SU;3 700,00;12.4;336.5;24,00;-7.5;299,00;17,00;Planetographic  +East  0 - 360;;"Greek; kingdom in Asia Minor where Ganymede was born.";Europe;Greek;Approved;1979;1;10/01/2006;
Ganymede;PTAH;GAAA6590S14300;Named formation;Crater;AA;PTAH;Approuved by IAU in 1988;God;Egypt;Egyptian;Not appliable;Not appliable;Not appliable;Not appliable;Sovereign god of Memphis / patron of artisans.;143,00;143°0';-65,90;65°54' South;30.2;30.2;Ganymede;4858;Ptah;Ptah;Crater, craters;AA;30.2;-65.9;143,00;-65.6;-66.2;143.7;142.2;Planetographic  +East  0 - 360;;"Sovereign god of Memphis; patron of artisans.";Africa;Egypt;Approved;1988;1;10/01/2006;
Ganymede;PUNT;GAAA2490S12010;Named formation;Crater;AA;PUNT;Approuved by IAU in 1997;Non appliable;Egypt;Egyptian;Not appliable;Not appliable;Not appliable;Not appliable;Land east of Egypt where Bes originated. Changed from Punt Facula.;120,10;120°6';-24,90;24°54' South;135,00;135,00;Ganymede;4869;Punt;Punt;Crater, craters;AA;135,00;-24.9;120.1;-23.5;-26.3;121.8;118.4;Planetographic  +East  0 - 360;;Land east of Egypt where Bes originated. Changed from Punt Facula.;Africa;Egypt;Approved;1997;1;10/01/2006;
Ganymede;RUTI;GAAA1320N5140;Named formation;Crater;AA;RUTI;Approuved by IAU in 1979;God;Phoenicia;Phoenician;Not appliable;Not appliable;Not appliable;Not appliable;Phoenician / Byblos god.;51,40;51°24';13,20;13°12' North;16,00;16,00;Ganymede;5242;Ruti;Ruti;Crater, craters;AA;16,00;13.2;51.4;13.4;13,00;51.5;51.2;Planetographic  +East  0 - 360;;"Phoenician; Byblos god.";Asia;Phoenician;Approved;1979;1;10/01/2006;
Ganymede;SALTU;GAAA1420S730;Named formation;Crater;AA;SALTU;Approuved by IAU in 2006;Goddess;Babylon;Babylonian;Not appliable;Not appliable;Not appliable;Not appliable;Babylonian goddess of discord and hostility.;7,30;7°18';-14,20;14°12' South;40,00;40,00;Ganymede;5286;Saltu;Saltu;Crater, craters;AA;40,00;-14.2;7.3;-13.7;-14.6;7.6;7,00;Planetographic  +East  0 - 360;;Babylonian goddess of discord and hostility.;Asia;Babylon;Approved;2006;83;10/01/2006;
Ganymede;SAPAS;GAAA5740N32610;Named formation;Crater;AA;SAPAS;Approuved by IAU in 1979;God;Assyria & Babylon;Assyro-Babylonian;Not appliable;Not appliable;Not appliable;Not appliable;Assyro-Babylonian / torch of the gods.;326,10;326°6';57,40;57°24' North;56,00;56,00;Ganymede;5317;Sapas;Sapas;Crater, craters;AA;56,00;57.4;326.1;58,00;56.8;327.2;324.9;Planetographic  +East  0 - 360;;"Assyro-Babylonian; torch of the gods.";Asia;Assyro-Babylonian;Approved;1979;1;10/01/2006;
Ganymede;SATI;GAAA3090N34720;Named formation;Crater;AA;SATI;Approuved by IAU in 1988;God;Egypt;Egyptian;Not appliable;Not appliable;Not appliable;Not appliable;Wife of Khnum, Egyptian god of the Cataracts.;347,20;347°12';30,90;30°54' North;94.7;94.7;Ganymede;5336;Sati;Sati;Crater, craters;AA;94.7;30.9;347.2;31.9;29.9;348.3;346,00;Planetographic  +East  0 - 360;;Wife of Khnum, Egyptian god of the Cataracts.;Africa;Egypt;Approved;1988;1;10/01/2006;
Ganymede;SEBEK;GAAA6120N310;Named formation;Crater;AA;SEBEK;Approuved by IAU in 1979;God;Egypt;Egyptian;Not appliable;Not appliable;Not appliable;Not appliable;Egyptian crocodile god.;3,10;3°6';61,20;61°12' North;65,00;65,00;Ganymede;5400;Sebek;Sebek;Crater, craters;AA;65,00;61.2;3.1;61.8;60.5;4.6;1.6;Planetographic  +East  0 - 360;;Egyptian crocodile god.;Africa;Egypt;Approved;1979;1;10/01/2006;
Ganymede;SEIMA;GAAA1710N14410;Named formation;Crater;AA;SEIMA;Approuved by IAU in 1985;Goddess;Aramea;Semitic;Not appliable;Not appliable;Not appliable;Not appliable;Mother goddess of the Arameans.;144,10;144°6';17,10;17°6' North;38,00;38,00;Ganymede;5412;Seima;Seima;Crater, craters;AA;38,00;17.1;144.1;17.5;16.7;144.4;143.6;Planetographic  +East  0 - 360;;Mother goddess of the Arameans.;Africa;Semitic;Approved;1985;27;10/01/2006;
Ganymede;SEKER;GAAA3920S1450;Named formation;Crater;AA;SEKER;Approuved by IAU in 1988;God;Egypt;Egyptian;Not appliable;Not appliable;Not appliable;Not appliable;Egyptian god of the dead at Memphis.;14,50;14°30';-39,20;39°12' South;103.4;103.4;Ganymede;5414;Seker;Seker;Crater, craters;AA;103.4;-39.2;14.5;-38.1;-40.3;16,00;13.1;Planetographic  +East  0 - 360;;Egyptian god of the dead at Memphis.;Africa;Egypt;Approved;1988;1;10/01/2006;
Ganymede;SELKET;GAAA1500N25420;Named formation;Crater;AA;SELKET;Approuved by IAU in 1985;Goddess;Egypt;Egyptian;Not appliable;Not appliable;Not appliable;Not appliable;Tutelary goddess who guarded intestines of the dead.;254,20;254°12';15,00;15°0' North;172.3;172.3;Ganymede;5419;Selket;Selket;Crater, craters;AA;172.3;15,00;254.2;17,00;13.2;255.9;252.3;Planetographic  +East  0 - 360;;Tutelary goddess who guarded intestines of the dead.;Africa;Egypt;Approved;1985;1;10/01/2006;
