BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHDATE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated;Additional_Info
Europa;INO LINEA;EULI170S18540;Named formation;Dark or bright elongate marking;LI;INO LINEA;Approuved by IAU in 1997;Human;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Daughter of Harmonia and Cadmus.;185.4;185°24';-1.7;-1°-42';1515;???;Europa;2699;Ino Linea;Ino Linea;Linea, lineae;LI;1515;-1.7;185.4;15.6;-16.4;206.6;161.8;Planetographic  +East  0 - 360;;Daughter of Harmonia and Cadmus.;Europe;Greek;Approved;1997;1;10.01.2006;
Europa;KATREUS LINEA;EULI3880S14670;Named formation;Dark or bright elongate marking;LI;KATREUS LINEA;Approuved by IAU in 2000;Human;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Son of Minos in Greek mythology.;146.7;146°41';-38.8;-38°-47';195;???;Europa;2959;Katreus Linea;Katreus Linea;Linea, lineae;LI;195;-38.8;146.7;-37.6;-39.7;151.3;142.6;Planetographic  +East  0 - 360;;Son of Minos in Greek mythology.;Europe;Greek;Approved;2000;19;10.01.2006;
Europa;KENNET LINEA;EULI4100S4800;Named formation;Dark or bright elongate marking;LI;KENNET LINEA;Approuved by IAU in 2003;Place;Celtic nation;Celtic;Not appliable;Not appliable;Not appliable;Not appliable;Stone row in England.;48;48°0';-41;-41°0';3200;???;Europa;2988;Kennet Linea;Kennet Linea;Linea, lineae;LI;3200;-41;48;-26.6;-27.3;114.2;360;Planetographic  +East  0 - 360;;Stone row in England.;Europe;Celtic;Approved;2003;142;10.01.2006;
Europa;LIBYA LINEA;EULI5400S17900;Named formation;Dark or bright elongate marking;LI;LIBYA LINEA;Approuved by IAU in 1979;Human;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Greek. Agenor's mother.;179;179°0';-54;-54°0';366;???;Europa;3390;Libya Linea;Libya Linea;Linea, lineae;LI;366;-54;179;-49.7;-59.3;186.3;169.7;Planetographic  +East  0 - 360;;Greek. Agenor's mother.;Europe;Greek;Approved;1979;19;10.01.2006;
Europa;LLYR;EUAA180S13820;Named formation;Crater;AA;LLYR;Approuved by IAU in 2000;God;Celtic nation;Celtic;Not appliable;Not appliable;Not appliable;Not appliable;Celtic sea god.;138.2;138°11';-1.8;-1°-48';1.1;1.1;Europa;3435;Llyr;Llyr;Crater, craters;AA;1.1;-1.8;138.2;;;;;Planetographic  +East  0 - 360;;Celtic sea god.;Europe;Celtic;Approved;2000;83;10.01.2006;
Europa;LUCHTAR;EUAA4020S10243;Named formation;Crater;AA;LUCHTAR;Approuved by IAU in 2006;God;Celtic nation;Celtic;Not appliable;Not appliable;Not appliable;Not appliable;Celtic god of carpentry.;102.43;102°25';-40.2;-40°-12';19.9;19.9;Europa;6971;Luchtar;Luchtar;Crater, craters;AA;19.9;-40.2;102.43;-39.91;-40.5;102.89;101.93;Planetographic  +East  0 - 360;;Celtic god of carpentry.;Europe;Celtic;Approved;2006;160;10.01.2006;
Europa;LUG;EUAA2799N31569;Named formation;Crater;AA;LUG;Approuved by IAU in 2006;God;Ireland;Irish;Not appliable;Not appliable;Not appliable;Not appliable;Irish omnicompetent god.;315.69;315°41';27.99;27°59';11;11;Europa;6972;Lug;Lug;Crater, craters;AA;11;27.99;315.69;28.18;27.78;315.94;315.45;Planetographic  +East  0 - 360;;Irish omnicompetent god.;Europe;Ireland;Approved;2006;1;5/15/10;
Europa;MAEL DUIN;EUAA1680S16210;Named formation;Crater;AA;MAEL DUIN;Approuved by IAU in 2000;Hero;Celtic nation;Celtic;Not appliable;Not appliable;Not appliable;Not appliable;Celtic hero.;162.1;162°5';-16.8;-16°-48';2;2;Europa;3569;Mael DÃºin;Mael Duin;Crater, craters;AA;2;-16.8;162.1;;;;;Planetographic  +East  0 - 360;;Celtic hero.;Europe;Celtic;Approved;2000;152;11/17/08;
Europa;MAEVE;EUAA5880N28110;Named formation;Crater;AA;MAEVE;Approuved by IAU in 2000;Queen;Ireland;Irish;Not appliable;Not appliable;Not appliable;Not appliable;Mythological Irish queen of Connacht province.;281.1;281°6';58.8;58°47';21.3;21.3;Europa;3571;Maeve;Maeve;Crater, craters;AA;21.3;58.8;281.1;59.2;58.4;281.9;280.3;Planetographic  +East  0 - 360;;Mythological Irish queen of Connacht province.;Europe;Ireland;Approved;2000;152;10.01.2006;
Europa;MANANNAN;EUAA310N12030;Named formation;Crater;AA;MANANNAN;Approuved by IAU in 1997;God;Celtic nation;Celtic;Not appliable;Not appliable;Not appliable;Not appliable;Irish sea and fertility god.;120.3;120°17';3.1;3°6';30;30;Europa;3622;ManannÃ¡n;Manannan;Crater, craters;AA;30;3.1;120.3;3.8;2.4;120.9;119.5;Planetographic  +East  0 - 360;;Irish sea and fertility god.;Europe;Celtic;Approved;1997;1;11/17/08;
